no,file,n_records,n_users
15,20241015/20241015.csv,13506,176
15,20241023/20241023.csv,32149,238
15,20241024/20241024.csv,30327,282
15,20241025/20241025.csv,38175,322
15,20241022/20241022.csv,28854,345
15,20241001/20241001.csv,14928,359
15,20241029/20241029.csv,17018,373
15,20241016/20241016.csv,28858,387
15,20241018/20241018.csv,34485,408
15,20241027/20241027.csv,28450,419
15,20241020/20241020.csv,32929,442
15,20241021/20241021.csv,24988,456
15,20241019/20241019.csv,31417,467
15,20241026/20241026.csv,35369,479
15,20241028/20241028.csv,32200,491
15,20241017/20241017.csv,29743,497
15,20240928/20240928.csv,18109,504
15,20241003/20241003.csv,16203,514
15,20240926/20240926.csv,9681,521
15,20241002/20241002.csv,16883,538
15,20240927/20240927.csv,22022,545
15,20240929/20240929.csv,17286,546
16,20241012/20241012.csv,23071,103
16,20240930/20240930.csv,6583,123
16,20241015/20241015.csv,7598,132
16,20241023/20241023.csv,10754,143
16,20241024/20241024.csv,6110,149
16,20241025/20241025.csv,12113,156
16,20241022/20241022.csv,9633,161
16,20241014/20241014.csv,22626,193
16,20241013/20241013.csv,31373,218
16,20240913/20240913.csv,5,219
16,20241009/20241009.csv,6208,224
16,20241007/20241007.csv,8721,231
16,20241006/20241006.csv,14958,242
16,20241001/20241001.csv,5993,247
16,20241008/20241008.csv,8340,249
16,20241029/20241029.csv,8286,255
16,20241016/20241016.csv,8437,257
16,20241011/20241011.csv,10170,259
16,20241018/20241018.csv,8245,267
16,20241027/20241027.csv,17330,275
16,20241020/20241020.csv,19162,281
16,20241021/20241021.csv,11621,284
16,20241019/20241019.csv,13820,291
16,20241026/20241026.csv,13822,297
16,20241010/20241010.csv,6560,300
16,20241028/20241028.csv,9407,301
16,20241017/20241017.csv,6942,304
16,20240928/20240928.csv,10018,308
16,20241004/20241004.csv,6509,309
16,20241003/20241003.csv,5492,313
16,20240926/20240926.csv,4624,315
16,20241002/20241002.csv,4571,316
16,20240927/20240927.csv,7521,318
16,20241005/20241005.csv,13090,322
16,20240929/20240929.csv,10732,325
17,20241012/20241012.csv,20377,91
17,20240930/20240930.csv,9043,108
17,20241015/20241015.csv,11755,123
17,20241023/20241023.csv,11802,140
17,20241024/20241024.csv,12964,150
17,20241025/20241025.csv,12876,160
17,20241022/20241022.csv,15315,168
17,20241014/20241014.csv,27365,187
17,20241013/20241013.csv,27735,209
17,20241031/20241031.csv,12293,215
17,20240913/20240913.csv,15,215
17,20241009/20241009.csv,10895,222
17,20241007/20241007.csv,7508,223
17,20241006/20241006.csv,17851,231
17,20241001/20241001.csv,8709,235
17,20241008/20241008.csv,9625,241
17,20241030/20241030.csv,13557,244
17,20241029/20241029.csv,11109,247
17,20241016/20241016.csv,11220,253
17,20241011/20241011.csv,12109,255
17,20241018/20241018.csv,14723,259
17,20241027/20241027.csv,27049,267
17,20241020/20241020.csv,21602,274
