user,cnt,poslen,pos
216ac17d13908790651708dd05a5a35489f6fb5dfcbb37d458229a8d991b1bd2,5459,74,"35,68,54,55,7,6,58,9,3,5,1,4,16,56,12,64,14,17,33,34,36,62,63,28,15,61,13,2,75,74,77,22,71,70,57,73,78,20,37,27,59,21,8,53,52,45,29,30,31,32,38,79,47,18,51,19,49,50,48,39,41,40,43,25,72,44,67,46,23,76,26,24,65,11"
ad4f493da123fc90777ff090519dc27c1e83517342fef4ef5ff88ea2bdb4b8fc,4594,74,"58,54,6,7,5,4,8,57,15,56,9,14,71,33,64,35,34,37,2,62,61,36,13,17,1,74,12,28,75,70,77,55,63,73,78,16,59,22,3,20,53,45,31,29,32,30,38,52,51,48,47,79,19,18,49,27,39,50,41,40,43,72,44,76,68,46,23,67,25,11,26,24,65,21"
894124928754be96561d77d1e8ccfaaa67249864ebee0ced085f0df55717fa17,3713,74,"58,56,6,57,8,54,2,64,12,34,36,7,63,37,62,15,27,33,61,13,59,35,20,78,17,70,74,4,75,77,21,14,71,55,3,16,73,53,22,1,52,29,30,38,45,31,9,32,51,79,47,49,50,28,18,19,48,39,41,40,43,72,25,23,76,44,68,67,5,11,46,26,24,65"
d6ac3dc7025d979bb0c4c3ce3595a77ef65a87579d3bb84a3e00ecdc315f7e12,3539,74,"56,55,58,6,54,7,8,9,64,17,2,4,33,34,13,59,36,37,28,62,60,15,61,35,3,16,73,78,74,12,71,77,75,1,27,20,5,14,22,39,45,44,53,70,38,52,31,51,79,48,18,30,49,47,19,57,63,32,50,40,41,43,72,25,68,46,76,67,23,26,24,65,11,21"
83b7b4c77ccb0dc735ff8ea862d6b81d2fbf57cc5b9502ec20b7c8636af16d68,2982,74,"54,6,9,1,8,7,4,2,58,56,16,3,64,5,17,59,33,15,36,35,61,55,28,13,74,71,37,70,34,77,14,57,62,22,21,78,12,73,63,75,45,52,53,29,32,31,38,27,51,20,79,49,19,18,30,48,47,41,43,40,25,72,76,44,68,46,67,50,23,39,11,26,65,24"
72ccf40a32647264a62c0f0bd49dcb1ba6fd7559f3f86c1dc97dfe9cc4dc6d0b,1936,74,"6,7,8,9,33,36,34,61,60,15,12,16,55,21,59,62,1,64,70,54,56,14,71,77,3,13,2,58,17,5,73,74,35,57,52,44,45,53,38,31,63,51,28,37,79,30,20,78,49,47,18,19,48,50,75,32,43,40,41,22,4,25,72,23,67,68,76,39,27,11,46,26,65,24"
cc8436b64151fd52cdf3d956133112a1da3dd2aafea0e295772cea62deb699e3,6138,73,"54,58,6,9,55,7,2,1,8,56,64,3,12,17,33,71,34,15,62,36,27,35,28,14,37,61,59,16,13,73,74,63,4,21,75,78,5,22,77,70,20,57,52,53,45,38,30,31,51,32,47,79,18,19,50,49,48,23,40,41,43,25,72,44,68,67,46,76,39,11,26,24,65"
49a8a774ce5021709aee890d1a6c508a9ac344d9604c9fd7f649292aa58ab50b,5015,73,"68,35,56,55,57,54,58,6,9,7,3,8,64,17,14,4,33,71,16,13,34,1,15,36,62,61,12,74,21,63,70,2,27,78,37,77,20,75,59,28,73,22,5,53,52,45,38,31,51,79,47,18,48,49,50,19,30,32,41,40,43,25,39,72,76,23,44,67,46,26,24,65,11"
54ec16a4e61f188ce55731805380cc0ad801692f376dc357910ad83df62c8681,4526,73,"56,54,6,9,58,3,4,8,2,5,17,33,64,12,1,63,36,35,71,34,13,15,60,61,62,75,14,28,16,74,77,7,59,78,70,22,21,73,20,37,57,52,55,53,44,45,38,31,32,30,47,48,51,79,18,19,50,49,41,40,43,25,76,72,68,46,67,23,39,26,24,65,11"
c168aebeba878d33b9707a2069fc1323b9d0f1ccdbc75c3bc310a84164378bd5,3565,73,"58,6,7,2,9,54,8,56,16,14,17,12,64,33,34,36,22,15,62,73,59,13,63,74,4,5,37,70,61,55,57,77,3,71,20,21,35,1,75,78,44,45,52,53,31,38,30,32,51,79,47,50,19,18,28,40,41,43,25,49,72,76,67,46,68,48,39,23,27,11,26,65,24"
